city,interest,attractions,ideal_duration
Hyderabad,culture,15,Medium
Edinburgh,nightlife,21,Long
London,nature,24,Long
Hyderabad,shopping,16,Medium
Edinburgh,culture,17,Medium
Edinburgh,culture,22,Long
London,nightlife,27,Long
Hyderabad,shopping,16,Medium
Edinburgh,culture,18,Medium
Mumbai,nature,21,Long
London,culture,27,Long
Edinburgh,culture,23,Long
Hyderabad,nature,17,Medium
Mumbai,shopping,12,Medium
Hyderabad,shopping,14,Medium
Mumbai,nightlife,17,Medium
Mumbai,nature,18,Medium
Edinburgh,nature,21,Long
Hyderabad,shopping,16,Medium
Hyderabad,nightlife,16,Medium
Hyderabad,nature,12,Medium
Edinburgh,nature,16,Medium
London,nightlife,26,Long
Mumbai,shopping,16,Medium
London,nightlife,28,Long
Edinburgh,nightlife,21,Long
Edinburgh,culture,17,Medium
Mumbai,nightlife,13,Medium
Hyderabad,nightlife,13,Medium
Hyderabad,nightlife,10,Short
Edinburgh,culture,21,Long
Mumbai,nature,18,Medium
Mumbai,culture,12,Medium
Mumbai,shopping,17,Medium
Hyderabad,culture,8,Short
London,culture,23,Long
Hyderabad,shopping,12,Medium
London,culture,27,Long
London,culture,18,Medium
Hyderabad,culture,11,Short
Edinburgh,nature,23,Long
Mumbai,nature,14,Medium
Edinburgh,culture,22,Long
Hyderabad,nightlife,14,Medium
London,shopping,29,Long
Mumbai,nature,13,Medium
London,nature,23,Long
Edinburgh,shopping,14,Medium
Hyderabad,culture,11,Short
Mumbai,culture,19,Medium
Mumbai,culture,14,Medium
London,nightlife,21,Long
Edinburgh,nightlife,24,Long
Hyderabad,nightlife,9,Short
Hyderabad,culture,9,Short
Mumbai,culture,20,Long
Mumbai,nature,21,Long
Mumbai,culture,17,Medium
London,nightlife,21,Long
Edinburgh,culture,19,Medium
Mumbai,nature,19,Medium
Mumbai,shopping,14,Medium
London,shopping,23,Long
London,shopping,22,Long
London,culture,23,Long
Mumbai,nightlife,12,Medium
Edinburgh,nature,17,Medium
London,nature,25,Long
Edinburgh,shopping,19,Medium
Edinburgh,nature,19,Medium
Hyderabad,culture,8,Short
Mumbai,nature,15,Medium
London,culture,20,Long
Hyderabad,nightlife,15,Medium
Edinburgh,shopping,14,Medium
Mumbai,nightlife,14,Medium
London,shopping,20,Long
Mumbai,nature,15,Medium
Hyderabad,nightlife,8,Short
Hyderabad,nature,11,Short
Mumbai,nightlife,16,Medium
Edinburgh,nature,14,Medium
London,culture,26,Long
London,nightlife,20,Long
Hyderabad,nature,9,Short
Hyderabad,nature,10,Short
Edinburgh,nature,16,Medium
Hyderabad,culture,12,Medium
Mumbai,nightlife,21,Long
Edinburgh,nightlife,19,Medium
Hyderabad,shopping,8,Short
London,shopping,25,Long
London,shopping,23,Long
London,shopping,21,Long
Edinburgh,nature,22,Long
Hyderabad,culture,12,Medium
Mumbai,nature,16,Medium
Hyderabad,nature,13,Medium
Edinburgh,shopping,15,Medium
London,shopping,21,Long
Mumbai,shopping,15,Medium
Edinburgh,nature,23,Long
Mumbai,shopping,19,Medium
Hyderabad,shopping,15,Medium
Edinburgh,culture,23,Long
Hyderabad,nature,10,Short
London,shopping,22,Long
Mumbai,nightlife,18,Medium
London,nature,25,Long
London,culture,27,Long
Hyderabad,culture,17,Medium
Hyderabad,nature,13,Medium
London,nature,23,Long
Hyderabad,shopping,11,Short
Hyderabad,culture,13,Medium
Hyderabad,culture,14,Medium
Hyderabad,nightlife,13,Medium
Hyderabad,shopping,8,Short
Edinburgh,shopping,15,Medium
Hyderabad,nature,10,Short
Edinburgh,culture,17,Medium
Hyderabad,nightlife,14,Medium
Mumbai,shopping,12,Medium
Edinburgh,nightlife,14,Medium
Hyderabad,shopping,10,Short
London,culture,26,Long
London,shopping,19,Medium
Edinburgh,nightlife,18,Medium
Mumbai,culture,13,Medium
London,culture,20,Long
Edinburgh,culture,18,Medium
Edinburgh,shopping,20,Long
London,nightlife,22,Long
Edinburgh,nature,16,Medium
Edinburgh,nature,23,Long
Mumbai,nightlife,12,Medium
Hyderabad,nature,16,Medium
London,culture,28,Long
Mumbai,nature,18,Medium
Mumbai,nature,21,Long
Mumbai,nature,16,Medium
Mumbai,nightlife,16,Medium
Hyderabad,shopping,16,Medium
Mumbai,nightlife,16,Medium
Hyderabad,culture,17,Medium
Mumbai,nightlife,17,Medium
London,culture,27,Long
London,nightlife,28,Long
Edinburgh,shopping,21,Long
Mumbai,nature,19,Medium
Edinburgh,shopping,17,Medium
London,culture,27,Long
Hyderabad,culture,16,Medium
Hyderabad,culture,15,Medium
London,shopping,29,Long
Mumbai,nature,14,Medium
London,culture,26,Long
Hyderabad,shopping,15,Medium
Hyderabad,shopping,12,Medium
Hyderabad,nature,16,Medium
London,nightlife,18,Medium
Mumbai,culture,21,Long
London,culture,19,Medium
London,culture,24,Long
Mumbai,shopping,18,Medium
London,nightlife,22,Long
Edinburgh,nature,20,Long
London,nightlife,23,Long
Hyderabad,nature,8,Short
London,shopping,28,Long
Hyderabad,culture,9,Short
Mumbai,nightlife,16,Medium
Edinburgh,nightlife,20,Long
Edinburgh,culture,21,Long
Mumbai,nature,13,Medium
Edinburgh,culture,22,Long
Edinburgh,nightlife,24,Long
Edinburgh,nature,24,Long
Mumbai,culture,20,Long
Edinburgh,shopping,18,Medium
London,culture,26,Long
Hyderabad,culture,17,Medium
Hyderabad,culture,13,Medium
London,nightlife,28,Long
London,nature,25,Long
Edinburgh,shopping,22,Long
Edinburgh,nature,22,Long
Edinburgh,shopping,15,Medium
Edinburgh,nature,18,Medium
London,shopping,29,Long
Edinburgh,shopping,19,Medium
Hyderabad,nightlife,12,Medium
Hyderabad,nightlife,10,Short
Edinburgh,nature,21,Long
London,nightlife,28,Long
Edinburgh,culture,17,Medium
London,shopping,22,Long
Hyderabad,nature,16,Medium
Mumbai,nightlife,18,Medium
Mumbai,nature,13,Medium
Hyderabad,culture,15,Medium
Hyderabad,shopping,13,Medium
Hyderabad,nightlife,9,Short
Edinburgh,nightlife,24,Long
Edinburgh,culture,19,Medium
Hyderabad,nature,17,Medium
Mumbai,nature,14,Medium
Hyderabad,shopping,8,Short
Mumbai,shopping,13,Medium
Hyderabad,shopping,16,Medium
Edinburgh,nightlife,24,Long
London,shopping,29,Long
London,nightlife,23,Long
Hyderabad,culture,10,Short
London,nature,26,Long
Edinburgh,nature,18,Medium
Edinburgh,shopping,16,Medium
Hyderabad,nightlife,12,Medium
London,nightlife,18,Medium
Edinburgh,culture,19,Medium
Mumbai,culture,13,Medium
London,nightlife,22,Long
Mumbai,nightlife,17,Medium
Hyderabad,nightlife,13,Medium
Mumbai,shopping,20,Long
Mumbai,nightlife,17,Medium
Hyderabad,nature,15,Medium
Mumbai,culture,20,Long
Mumbai,nature,13,Medium
Mumbai,nature,13,Medium
London,nightlife,28,Long
London,nature,26,Long
London,nightlife,29,Long
Edinburgh,nature,17,Medium
Edinburgh,nightlife,23,Long
London,shopping,28,Long
Mumbai,nightlife,20,Long
London,shopping,24,Long
London,nightlife,23,Long
London,nature,26,Long
London,nightlife,20,Long
London,shopping,29,Long
Mumbai,culture,19,Medium
Edinburgh,nightlife,14,Medium
London,nightlife,27,Long
Mumbai,nightlife,13,Medium
Mumbai,shopping,14,Medium
Mumbai,culture,13,Medium
London,culture,25,Long
Edinburgh,nature,15,Medium
London,culture,26,Long
Edinburgh,culture,17,Medium
Mumbai,shopping,12,Medium
Hyderabad,nightlife,9,Short
London,culture,21,Long
London,shopping,23,Long
Hyderabad,nature,16,Medium
Edinburgh,shopping,17,Medium
Edinburgh,culture,18,Medium
Hyderabad,culture,15,Medium
Edinburgh,shopping,22,Long
London,culture,18,Medium
London,nature,28,Long
Hyderabad,culture,10,Short
Mumbai,nightlife,20,Long
London,shopping,24,Long
Edinburgh,shopping,20,Long
Edinburgh,nature,21,Long
Hyderabad,nightlife,13,Medium
Hyderabad,shopping,14,Medium
Mumbai,nature,12,Medium
London,nightlife,26,Long
Hyderabad,culture,10,Short
Mumbai,nature,13,Medium
Hyderabad,culture,16,Medium
London,nightlife,21,Long
London,nature,26,Long
London,culture,23,Long
Hyderabad,culture,8,Short
London,nightlife,18,Medium
London,nightlife,28,Long
Edinburgh,nature,16,Medium
Hyderabad,nature,15,Medium
Hyderabad,nature,16,Medium
London,nightlife,23,Long
Edinburgh,shopping,20,Long
Edinburgh,shopping,24,Long
London,shopping,23,Long
Mumbai,nature,16,Medium
Hyderabad,shopping,10,Short
Mumbai,nature,12,Medium
Hyderabad,nature,14,Medium
London,nightlife,27,Long
Edinburgh,nightlife,19,Medium
Hyderabad,nightlife,15,Medium
Mumbai,nature,17,Medium
Mumbai,culture,19,Medium
Hyderabad,nature,15,Medium
London,culture,25,Long
Edinburgh,nightlife,15,Medium
London,nightlife,24,Long
Hyderabad,shopping,8,Short
Hyderabad,shopping,12,Medium
London,shopping,26,Long
Mumbai,culture,14,Medium
Mumbai,shopping,17,Medium
Hyderabad,shopping,14,Medium
Edinburgh,nature,17,Medium
Edinburgh,culture,22,Long
Edinburgh,culture,17,Medium
Hyderabad,culture,9,Short
Edinburgh,culture,15,Medium
London,nature,23,Long
Mumbai,shopping,17,Medium
Mumbai,shopping,19,Medium
Edinburgh,culture,22,Long
London,nightlife,21,Long
Edinburgh,nature,19,Medium
Hyderabad,nightlife,15,Medium
Hyderabad,nature,12,Medium
Mumbai,nightlife,12,Medium
Edinburgh,nature,15,Medium
Hyderabad,nature,16,Medium
Hyderabad,culture,8,Short
Mumbai,nightlife,18,Medium
Mumbai,shopping,16,Medium
Edinburgh,shopping,15,Medium
Hyderabad,shopping,15,Medium
Edinburgh,shopping,16,Medium
Mumbai,shopping,14,Medium
Mumbai,nightlife,20,Long
Hyderabad,nature,8,Short
Mumbai,culture,14,Medium
Mumbai,culture,13,Medium
Mumbai,nightlife,15,Medium
Mumbai,culture,13,Medium
London,shopping,20,Long
Mumbai,culture,13,Medium
London,shopping,22,Long
Edinburgh,nature,14,Medium
Edinburgh,nightlife,18,Medium
London,nightlife,21,Long
London,nature,20,Long
London,nightlife,22,Long
Hyderabad,nature,14,Medium
Mumbai,nature,21,Long
Edinburgh,shopping,23,Long
Mumbai,culture,16,Medium
Hyderabad,nightlife,11,Short
Edinburgh,shopping,18,Medium
Mumbai,nature,13,Medium
Edinburgh,shopping,23,Long
Hyderabad,nature,8,Short
Hyderabad,culture,8,Short
Mumbai,nature,19,Medium
London,nature,25,Long
London,culture,20,Long
Edinburgh,nightlife,21,Long
Hyderabad,nightlife,16,Medium
Hyderabad,shopping,15,Medium
Hyderabad,nightlife,12,Medium
London,nightlife,20,Long
London,nature,23,Long
Edinburgh,nature,21,Long
Hyderabad,culture,9,Short
Edinburgh,nature,22,Long
Mumbai,shopping,21,Long
Edinburgh,shopping,18,Medium
Edinburgh,shopping,21,Long
Mumbai,shopping,20,Long
Mumbai,nightlife,20,Long
Edinburgh,nature,16,Medium
Mumbai,culture,16,Medium
Edinburgh,nature,22,Long
London,nature,25,Long
Mumbai,shopping,17,Medium
Hyderabad,nature,9,Short
London,nature,25,Long
London,culture,20,Long
London,shopping,22,Long
Mumbai,nature,12,Medium
London,culture,20,Long
Mumbai,shopping,21,Long
London,shopping,26,Long
Edinburgh,nature,19,Medium
Edinburgh,culture,22,Long
Edinburgh,shopping,21,Long
London,culture,21,Long
Mumbai,nightlife,14,Medium
Mumbai,culture,19,Medium
Mumbai,nature,20,Long
London,shopping,25,Long
Edinburgh,nature,21,Long
Mumbai,nightlife,13,Medium
Hyderabad,shopping,10,Short
Mumbai,culture,14,Medium
Hyderabad,shopping,8,Short
London,nightlife,18,Medium
Mumbai,nightlife,17,Medium
London,culture,26,Long
Hyderabad,nature,9,Short
Mumbai,nature,17,Medium
Hyderabad,shopping,12,Medium
Mumbai,nature,16,Medium
Hyderabad,culture,17,Medium
Mumbai,nightlife,18,Medium
Hyderabad,nightlife,16,Medium
Mumbai,nature,15,Medium
Edinburgh,culture,20,Long
London,shopping,23,Long
Hyderabad,culture,13,Medium
London,nightlife,28,Long
Hyderabad,nightlife,9,Short
Mumbai,shopping,19,Medium
Edinburgh,shopping,23,Long
Edinburgh,nightlife,18,Medium
Mumbai,culture,18,Medium
Edinburgh,culture,18,Medium
Edinburgh,nightlife,15,Medium
Hyderabad,nightlife,17,Medium
London,culture,19,Medium
London,culture,18,Medium
Mumbai,nature,13,Medium
Hyderabad,culture,9,Short
Mumbai,nature,18,Medium
London,nightlife,20,Long
London,culture,21,Long
London,nightlife,25,Long
Hyderabad,shopping,13,Medium
Hyderabad,culture,15,Medium
Hyderabad,shopping,9,Short
Edinburgh,nightlife,16,Medium
Mumbai,shopping,18,Medium
Mumbai,shopping,16,Medium
Edinburgh,nightlife,22,Long
Edinburgh,culture,22,Long
London,shopping,27,Long
Mumbai,nightlife,18,Medium
London,nature,18,Medium
London,nightlife,29,Long
Hyderabad,nightlife,13,Medium
Edinburgh,shopping,18,Medium
Hyderabad,nature,9,Short
Mumbai,shopping,16,Medium
Hyderabad,nightlife,16,Medium
Mumbai,nature,14,Medium
Edinburgh,nature,22,Long
London,nature,25,Long
Mumbai,shopping,16,Medium
Mumbai,nature,16,Medium
Mumbai,culture,13,Medium
Hyderabad,shopping,13,Medium
Mumbai,shopping,12,Medium
Mumbai,shopping,19,Medium
Mumbai,culture,12,Medium
London,nightlife,27,Long
London,nature,26,Long
Hyderabad,nature,11,Short
London,culture,20,Long
Mumbai,shopping,13,Medium
Mumbai,nightlife,19,Medium
Mumbai,shopping,12,Medium
Edinburgh,nature,19,Medium
Edinburgh,culture,23,Long
London,culture,26,Long
Edinburgh,shopping,21,Long
Mumbai,culture,19,Medium
Edinburgh,culture,24,Long
Hyderabad,shopping,16,Medium
Edinburgh,nightlife,19,Medium
Hyderabad,nightlife,14,Medium
London,nightlife,22,Long
Edinburgh,nightlife,14,Medium
Hyderabad,culture,16,Medium
Hyderabad,nature,15,Medium
London,nightlife,20,Long
Edinburgh,culture,16,Medium
Mumbai,nightlife,14,Medium
London,nightlife,29,Long
Mumbai,nightlife,19,Medium
London,culture,24,Long
Mumbai,nature,13,Medium
Mumbai,shopping,14,Medium
Hyderabad,culture,8,Short
Edinburgh,culture,19,Medium
Hyderabad,nature,8,Short
Edinburgh,culture,18,Medium
Hyderabad,nightlife,17,Medium
Edinburgh,culture,21,Long
Hyderabad,shopping,14,Medium
Hyderabad,nightlife,10,Short
Edinburgh,nightlife,14,Medium
Hyderabad,nature,14,Medium
Hyderabad,shopping,14,Medium
Mumbai,nature,15,Medium
Mumbai,culture,19,Medium
Hyderabad,nightlife,17,Medium
Mumbai,shopping,21,Long
London,culture,20,Long
Hyderabad,culture,14,Medium
London,culture,20,Long
Mumbai,culture,14,Medium
London,culture,22,Long
London,shopping,25,Long
Mumbai,nightlife,17,Medium
Edinburgh,shopping,19,Medium
Mumbai,nature,14,Medium
London,shopping,28,Long
Mumbai,nightlife,19,Medium
Edinburgh,nightlife,18,Medium
Edinburgh,culture,23,Long
Edinburgh,nature,19,Medium
Edinburgh,culture,21,Long
Edinburgh,nature,15,Medium
Hyderabad,nature,15,Medium
London,culture,28,Long
London,nightlife,19,Medium
London,culture,22,Long
Hyderabad,culture,17,Medium
Mumbai,nightlife,20,Long
London,nature,23,Long
Hyderabad,culture,16,Medium
Hyderabad,shopping,14,Medium
Mumbai,nightlife,21,Long
Mumbai,shopping,18,Medium
Hyderabad,nightlife,15,Medium
Edinburgh,shopping,15,Medium
Edinburgh,nature,16,Medium
Hyderabad,shopping,12,Medium
Hyderabad,culture,11,Short
Hyderabad,nature,13,Medium
London,shopping,25,Long
Hyderabad,nature,17,Medium
London,nature,24,Long
Edinburgh,nature,24,Long
London,nightlife,19,Medium
London,culture,21,Long
Hyderabad,shopping,16,Medium
Hyderabad,culture,8,Short
London,shopping,19,Medium
Hyderabad,nature,10,Short
Edinburgh,nature,21,Long
London,nightlife,20,Long
Edinburgh,nature,20,Long
London,culture,22,Long
London,culture,22,Long
London,culture,19,Medium
London,culture,23,Long
London,nightlife,20,Long
Mumbai,nightlife,19,Medium
Mumbai,nature,13,Medium
Hyderabad,nightlife,9,Short
London,nature,28,Long
Hyderabad,shopping,12,Medium
Hyderabad,nature,12,Medium
London,culture,18,Medium
London,nightlife,21,Long
Mumbai,nightlife,13,Medium
Hyderabad,nightlife,13,Medium
Edinburgh,nature,21,Long
Mumbai,shopping,12,Medium
Mumbai,culture,13,Medium
Hyderabad,shopping,15,Medium
Mumbai,culture,20,Long
London,culture,21,Long
London,shopping,23,Long
Edinburgh,shopping,20,Long
Mumbai,culture,20,Long
Mumbai,shopping,16,Medium
Hyderabad,culture,8,Short
Hyderabad,nightlife,16,Medium
London,shopping,18,Medium
Mumbai,nightlife,20,Long
Edinburgh,nature,20,Long
Hyderabad,culture,9,Short
Edinburgh,culture,19,Medium
Edinburgh,nature,15,Medium
Hyderabad,nightlife,15,Medium
London,nightlife,29,Long
Mumbai,nature,15,Medium
London,culture,23,Long
Mumbai,culture,21,Long
Edinburgh,nature,23,Long
London,culture,18,Medium
Edinburgh,nightlife,23,Long
Mumbai,culture,18,Medium
Edinburgh,nightlife,23,Long
London,shopping,22,Long
London,nightlife,18,Medium
Mumbai,shopping,20,Long
Hyderabad,nightlife,14,Medium
Edinburgh,shopping,22,Long
Edinburgh,nightlife,16,Medium
Hyderabad,culture,9,Short
Edinburgh,nature,22,Long
London,culture,19,Medium
London,nightlife,18,Medium
Mumbai,nightlife,21,Long
Hyderabad,nature,10,Short
Edinburgh,shopping,19,Medium
Edinburgh,nature,23,Long
Hyderabad,nature,12,Medium
London,nightlife,19,Medium
London,nature,22,Long
Mumbai,nature,13,Medium
Mumbai,nature,12,Medium
Hyderabad,nature,13,Medium
Edinburgh,nightlife,24,Long
Hyderabad,culture,9,Short
Mumbai,nature,21,Long
Edinburgh,shopping,24,Long
Hyderabad,nightlife,9,Short
Hyderabad,nature,15,Medium
London,culture,19,Medium
Hyderabad,nature,16,Medium
Hyderabad,nightlife,17,Medium
Edinburgh,nightlife,24,Long
Mumbai,culture,14,Medium
Edinburgh,culture,24,Long
Mumbai,shopping,20,Long
London,nightlife,20,Long
Hyderabad,shopping,17,Medium
Hyderabad,nightlife,12,Medium
Mumbai,culture,21,Long
London,nature,22,Long
Hyderabad,culture,13,Medium
Hyderabad,nightlife,12,Medium
London,nightlife,20,Long
London,shopping,25,Long
Hyderabad,nature,11,Short
London,nature,26,Long
Edinburgh,shopping,16,Medium
Hyderabad,culture,10,Short
London,culture,25,Long
Mumbai,nightlife,13,Medium
London,culture,24,Long
London,nature,26,Long
Edinburgh,nature,23,Long
Edinburgh,shopping,17,Medium
London,nightlife,21,Long
London,shopping,22,Long
Mumbai,nature,20,Long
Mumbai,culture,15,Medium
Mumbai,culture,16,Medium
Edinburgh,shopping,24,Long
Mumbai,shopping,12,Medium
Mumbai,culture,15,Medium
London,culture,18,Medium
London,culture,18,Medium
London,nightlife,24,Long
Mumbai,culture,21,Long
Hyderabad,nature,16,Medium
Edinburgh,nightlife,14,Medium
Edinburgh,nightlife,16,Medium
Mumbai,shopping,15,Medium
London,shopping,25,Long
Hyderabad,nature,9,Short
London,culture,26,Long
Hyderabad,nightlife,10,Short
London,nightlife,20,Long
Edinburgh,nightlife,17,Medium
Edinburgh,shopping,16,Medium
Hyderabad,culture,15,Medium
London,nature,20,Long
Edinburgh,nightlife,18,Medium
London,culture,18,Medium
Hyderabad,nightlife,12,Medium
Hyderabad,nature,9,Short
Hyderabad,shopping,9,Short
Hyderabad,nightlife,13,Medium
London,nightlife,21,Long
Mumbai,shopping,20,Long
Mumbai,nature,12,Medium
Mumbai,culture,16,Medium
Edinburgh,culture,20,Long
London,shopping,26,Long
Edinburgh,nature,19,Medium
Mumbai,shopping,18,Medium
Edinburgh,shopping,16,Medium
Edinburgh,shopping,19,Medium
London,nature,18,Medium
Hyderabad,shopping,11,Short
London,nature,22,Long
Mumbai,shopping,19,Medium
Mumbai,nature,12,Medium
London,culture,20,Long
Mumbai,nightlife,21,Long
Hyderabad,nature,9,Short
Edinburgh,shopping,17,Medium
Hyderabad,shopping,16,Medium
Edinburgh,culture,15,Medium
Edinburgh,culture,18,Medium
London,shopping,26,Long
London,nightlife,28,Long
London,nature,28,Long
Mumbai,nightlife,21,Long
London,shopping,20,Long
Mumbai,culture,19,Medium
London,nature,26,Long
London,culture,29,Long
Mumbai,culture,13,Medium
Hyderabad,nature,17,Medium
Edinburgh,nature,19,Medium
