city,days,travel_type,interest,recommended_budget
London,6,couple,culture,1778
London,5,couple,nightlife,1438
Hyderabad,7,solo,culture,525
Edinburgh,6,family,culture,2093
Mumbai,7,solo,nightlife,568
Mumbai,3,solo,shopping,224
Hyderabad,7,couple,culture,636
Mumbai,3,couple,culture,381
Mumbai,5,family,nature,1086
London,3,solo,nightlife,448
Hyderabad,5,family,nature,890
Edinburgh,4,couple,shopping,975
Hyderabad,2,solo,shopping,190
Hyderabad,5,family,culture,810
Edinburgh,3,family,nightlife,978
Hyderabad,5,family,nature,779
Hyderabad,4,couple,shopping,522
Hyderabad,3,solo,nature,281
Mumbai,7,couple,shopping,896
London,5,couple,culture,1373
Hyderabad,4,solo,nightlife,303
Hyderabad,6,solo,culture,423
Mumbai,6,solo,nightlife,541
London,2,family,nightlife,735
Mumbai,2,family,nightlife,426
London,7,solo,nightlife,1132
London,6,family,culture,2398
Hyderabad,7,solo,culture,381
Edinburgh,2,couple,culture,562
London,2,solo,culture,366
Edinburgh,2,family,nightlife,805
London,5,family,nature,2010
Edinburgh,6,solo,shopping,879
Hyderabad,5,family,culture,877
Hyderabad,2,family,culture,380
Mumbai,3,family,nature,684
Mumbai,6,family,shopping,1245
London,4,couple,shopping,1063
Hyderabad,3,couple,nightlife,350
Hyderabad,7,family,nature,1090
Edinburgh,3,solo,nature,346
Mumbai,3,solo,culture,289
Mumbai,4,solo,culture,285
Edinburgh,2,family,shopping,816
Hyderabad,5,couple,nightlife,568
London,6,couple,shopping,1622
Mumbai,3,family,shopping,587
London,6,solo,nature,1079
Mumbai,3,solo,shopping,229
London,2,family,culture,791
Mumbai,2,family,nightlife,387
Hyderabad,2,couple,culture,237
Mumbai,5,solo,nightlife,447
Hyderabad,6,couple,culture,714
Edinburgh,6,family,shopping,2019
Hyderabad,3,family,culture,398
Mumbai,2,solo,nature,167
London,2,family,nightlife,773
Edinburgh,7,solo,nightlife,1001
Edinburgh,5,couple,nightlife,1275
Edinburgh,3,solo,culture,547
Edinburgh,4,couple,shopping,996
Hyderabad,2,solo,nightlife,224
Edinburgh,6,solo,nature,774
Hyderabad,7,couple,shopping,810
London,2,couple,nature,499
Mumbai,3,family,culture,466
London,2,couple,culture,589
Edinburgh,2,family,culture,625
London,2,couple,shopping,470
Hyderabad,6,solo,nature,364
London,2,solo,nightlife,274
Mumbai,5,solo,culture,369
Hyderabad,7,family,culture,972
Hyderabad,6,solo,nature,461
London,2,solo,nature,420
Mumbai,2,family,culture,479
Edinburgh,7,solo,culture,1111
Edinburgh,3,family,nightlife,988
Mumbai,3,couple,nature,399
London,4,couple,nightlife,1180
Mumbai,5,solo,nature,496
London,2,solo,nightlife,266
London,6,solo,nature,925
London,4,family,nature,1691
Edinburgh,3,couple,nature,711
Mumbai,7,family,shopping,1390
London,3,solo,nature,604
Edinburgh,5,couple,shopping,1195
London,2,solo,culture,351
Mumbai,2,couple,culture,238
Edinburgh,6,couple,nature,1380
Mumbai,6,couple,shopping,707
Edinburgh,4,family,shopping,1548
London,4,couple,nightlife,995
Edinburgh,5,solo,shopping,695
London,4,solo,nightlife,717
Hyderabad,3,family,shopping,370
Hyderabad,3,couple,culture,227
Hyderabad,7,solo,culture,552
Edinburgh,3,couple,nature,790
Mumbai,3,solo,shopping,197
Mumbai,2,family,culture,488
London,7,family,shopping,2747
Hyderabad,2,couple,nightlife,104
Edinburgh,2,family,culture,779
London,7,couple,nature,1831
London,7,couple,culture,1957
Mumbai,4,family,shopping,652
London,7,family,shopping,2936
Mumbai,3,couple,shopping,396
London,2,family,culture,727
Mumbai,2,solo,shopping,135
Mumbai,7,solo,culture,437
Edinburgh,2,couple,shopping,608
Hyderabad,3,family,nightlife,460
Mumbai,3,family,nightlife,629
Hyderabad,5,family,nature,818
Hyderabad,7,couple,nightlife,839
London,4,solo,nature,768
Hyderabad,2,solo,nature,40
Mumbai,7,family,nightlife,1215
Mumbai,4,couple,nature,503
London,2,family,shopping,942
London,6,family,nature,2365
Edinburgh,5,family,nightlife,1728
Mumbai,7,solo,nature,672
Mumbai,4,couple,culture,603
London,4,couple,shopping,1160
Edinburgh,6,couple,nature,1445
Edinburgh,4,solo,nightlife,572
Edinburgh,2,couple,nature,439
Mumbai,6,couple,shopping,764
Hyderabad,4,family,culture,633
Mumbai,3,solo,shopping,262
Edinburgh,3,solo,nightlife,449
Edinburgh,2,family,culture,672
Hyderabad,2,family,shopping,351
Mumbai,4,couple,shopping,458
Hyderabad,7,couple,nature,730
Edinburgh,4,solo,nature,535
London,4,solo,nightlife,603
Mumbai,5,solo,nightlife,285
Hyderabad,6,couple,nightlife,541
London,6,solo,culture,942
London,7,couple,nature,1935
Hyderabad,6,couple,culture,657
Edinburgh,7,family,culture,2515
Hyderabad,2,solo,culture,244
London,3,couple,culture,819
Edinburgh,4,family,shopping,1497
Mumbai,4,family,shopping,849
Mumbai,5,family,shopping,993
Hyderabad,5,couple,shopping,564
Edinburgh,6,couple,culture,1424
Hyderabad,6,family,shopping,832
Mumbai,5,couple,nature,546
Hyderabad,4,couple,culture,425
Mumbai,6,family,shopping,1252
Hyderabad,5,family,culture,785
Hyderabad,6,family,nightlife,875
Hyderabad,3,family,shopping,464
London,5,couple,shopping,1286
Hyderabad,5,family,nature,723
Edinburgh,7,couple,nightlife,1588
London,3,couple,shopping,855
Mumbai,6,couple,nature,881
Hyderabad,5,family,nightlife,885
Edinburgh,5,solo,nightlife,636
Edinburgh,3,solo,nightlife,350
Mumbai,2,couple,shopping,183
Mumbai,2,couple,shopping,305
Hyderabad,7,solo,culture,409
Mumbai,5,couple,shopping,593
Hyderabad,7,family,shopping,1117
London,6,family,culture,2352
Hyderabad,3,solo,culture,233
Hyderabad,4,family,nightlife,524
Mumbai,4,couple,nature,544
Mumbai,4,couple,shopping,426
Edinburgh,4,family,nightlife,1478
Mumbai,2,family,nightlife,472
Hyderabad,2,solo,culture,82
London,7,couple,nightlife,1917
Hyderabad,2,family,culture,283
Hyderabad,2,couple,nature,323
London,6,solo,shopping,860
Edinburgh,6,couple,shopping,1506
London,4,couple,nightlife,1145
Hyderabad,2,solo,culture,49
Edinburgh,4,couple,culture,929
London,3,couple,nature,935
Hyderabad,3,couple,nature,384
London,5,solo,nightlife,856
London,4,couple,nature,1198
Mumbai,3,solo,shopping,179
Edinburgh,3,family,culture,957
Hyderabad,2,family,shopping,415
London,4,family,culture,1571
Mumbai,2,family,culture,341
London,2,family,nightlife,861
London,7,couple,shopping,1947
Edinburgh,5,solo,nature,812
Mumbai,3,family,nature,468
Hyderabad,6,family,nightlife,924
London,5,solo,nightlife,781
Mumbai,2,family,culture,422
London,3,family,nature,1294
London,5,solo,culture,865
Edinburgh,7,solo,nature,932
Edinburgh,4,couple,nature,959
Edinburgh,2,couple,nature,495
London,7,family,nightlife,2923
Hyderabad,3,family,culture,363
Hyderabad,3,solo,culture,182
Hyderabad,7,couple,shopping,851
Edinburgh,3,couple,culture,722
Mumbai,6,family,nature,1170
Edinburgh,6,couple,nightlife,1368
Mumbai,3,solo,culture,277
Mumbai,3,family,culture,567
Mumbai,6,family,culture,1055
Mumbai,4,couple,nightlife,646
Hyderabad,6,family,nature,972
Hyderabad,3,solo,nightlife,269
Mumbai,7,couple,nightlife,845
London,2,family,culture,735
London,3,solo,culture,390
Edinburgh,4,solo,shopping,498
Edinburgh,4,couple,nature,906
London,7,couple,culture,1859
Hyderabad,3,family,nightlife,560
London,5,family,culture,2089
London,6,family,nature,2500
Mumbai,3,solo,culture,325
Edinburgh,2,solo,culture,240
London,3,solo,shopping,414
London,3,solo,nightlife,551
London,7,couple,nature,1815
London,6,family,shopping,2348
Hyderabad,2,couple,culture,158
Hyderabad,5,couple,nightlife,625
London,6,solo,shopping,1088
Mumbai,7,solo,nature,513
Edinburgh,4,couple,culture,960
Mumbai,3,family,culture,612
Mumbai,6,couple,nature,799
Mumbai,6,family,culture,1139
Edinburgh,3,family,shopping,1170
Mumbai,7,family,shopping,1357
London,3,family,culture,1113
London,4,solo,nature,670
Hyderabad,4,couple,shopping,522
Edinburgh,2,solo,nature,332
Hyderabad,3,solo,nightlife,316
Mumbai,5,couple,nature,591
London,3,couple,nature,962
Hyderabad,6,couple,nightlife,607
London,4,family,nature,1743
Hyderabad,7,solo,culture,381
Hyderabad,5,solo,nightlife,383
Edinburgh,2,couple,nature,528
London,5,solo,culture,921
Hyderabad,4,solo,nature,259
Mumbai,3,couple,nature,318
Hyderabad,2,solo,nature,226
Hyderabad,2,solo,nightlife,215
Edinburgh,4,couple,culture,912
Hyderabad,4,couple,shopping,491
London,7,family,nature,2776
Mumbai,2,family,nightlife,278
London,5,solo,shopping,753
Hyderabad,4,solo,nature,213
London,3,solo,nature,548
Hyderabad,3,family,nightlife,355
Hyderabad,6,couple,shopping,726
Hyderabad,2,family,nightlife,321
Hyderabad,6,family,nature,962
Mumbai,3,couple,culture,497
London,4,couple,culture,1107
Hyderabad,2,solo,nightlife,161
Hyderabad,3,family,culture,533
London,4,solo,culture,734
Hyderabad,3,couple,culture,412
Edinburgh,2,solo,shopping,366
Mumbai,5,family,nature,908
London,6,couple,nature,1729
Hyderabad,5,solo,nightlife,396
Hyderabad,2,couple,nightlife,148
Edinburgh,7,solo,shopping,1065
London,3,family,culture,1336
Hyderabad,7,family,nightlife,1117
Edinburgh,2,family,shopping,647
Hyderabad,6,family,culture,888
Hyderabad,3,family,shopping,515
Edinburgh,6,family,culture,2057
Hyderabad,4,family,shopping,669
Mumbai,4,solo,nature,238
London,3,couple,nature,792
Hyderabad,5,family,nature,873
Hyderabad,7,family,culture,1182
Hyderabad,3,solo,shopping,319
Mumbai,4,couple,shopping,483
Hyderabad,3,family,nightlife,409
London,7,solo,culture,1041
Edinburgh,5,couple,nightlife,1308
Edinburgh,2,couple,culture,513
Mumbai,2,couple,nature,274
London,3,couple,nature,907
London,6,family,shopping,2479
Hyderabad,5,family,culture,788
Hyderabad,7,family,shopping,1109
London,4,couple,shopping,1013
Mumbai,7,couple,culture,795
Hyderabad,4,solo,culture,178
London,6,solo,shopping,975
Edinburgh,3,family,nature,1033
Mumbai,4,family,shopping,730
Mumbai,5,solo,culture,321
Edinburgh,6,family,nightlife,2005
London,2,solo,shopping,220
Mumbai,5,couple,shopping,698
Hyderabad,4,solo,culture,163
Edinburgh,3,family,nightlife,1157
London,5,couple,culture,1404
Hyderabad,6,family,shopping,973
Mumbai,5,family,shopping,929
Edinburgh,5,solo,nightlife,659
Mumbai,4,couple,shopping,562
Mumbai,7,family,culture,1337
Edinburgh,5,solo,nature,775
Hyderabad,5,family,nature,895
Hyderabad,6,couple,nightlife,583
London,6,solo,nightlife,880
Mumbai,7,couple,nature,1030
London,7,family,culture,2916
Hyderabad,5,couple,culture,545
London,7,family,nightlife,2740
Hyderabad,5,solo,nature,359
London,7,couple,nightlife,1951
Hyderabad,3,couple,nightlife,302
Mumbai,2,solo,culture,254
Mumbai,2,solo,nightlife,203
Mumbai,3,couple,shopping,371
Mumbai,3,couple,shopping,507
Mumbai,5,solo,nightlife,477
Hyderabad,4,family,nature,508
Mumbai,2,family,shopping,434
Hyderabad,3,couple,nightlife,267
Edinburgh,7,family,shopping,2476
London,4,couple,nature,1009
Mumbai,4,family,culture,837
Mumbai,7,family,nature,1457
Edinburgh,5,solo,culture,644
London,3,family,shopping,1337
Edinburgh,6,solo,shopping,792
London,4,couple,nature,1133
London,7,solo,nightlife,1075
Hyderabad,4,family,nightlife,701
London,4,solo,culture,721
London,2,family,nightlife,748
Mumbai,6,family,nature,1213
Edinburgh,5,solo,nightlife,819
Edinburgh,7,couple,culture,1744
Edinburgh,2,couple,culture,473
Edinburgh,5,couple,shopping,1251
Edinburgh,7,family,nature,2592
London,3,couple,culture,727
London,6,couple,nightlife,1552
London,2,family,nature,707
Edinburgh,7,family,nature,2521
Mumbai,7,couple,shopping,828
Hyderabad,7,solo,culture,381
Mumbai,5,solo,shopping,288
Edinburgh,2,couple,shopping,445
Hyderabad,4,solo,culture,167
Mumbai,4,solo,culture,392
Edinburgh,5,solo,shopping,646
London,4,couple,shopping,1105
Mumbai,3,solo,nature,200
Mumbai,2,solo,culture,69
Edinburgh,4,solo,culture,523
Mumbai,5,solo,shopping,439
London,6,solo,culture,1100
Edinburgh,5,family,shopping,1783
Edinburgh,4,solo,nightlife,573
Mumbai,3,solo,shopping,161
Edinburgh,3,solo,culture,438
London,7,solo,culture,1078
Hyderabad,2,solo,shopping,225
Edinburgh,3,solo,nature,535
London,4,couple,nature,1204
Mumbai,6,solo,shopping,572
Edinburgh,4,couple,shopping,1023
Mumbai,5,family,nightlife,962
Hyderabad,5,couple,nature,533
London,3,solo,culture,626
Edinburgh,6,couple,culture,1566
Mumbai,3,solo,shopping,243
Mumbai,4,couple,nature,523
Mumbai,2,couple,nightlife,201
Edinburgh,2,family,nightlife,688
Mumbai,5,solo,culture,421
London,7,solo,nightlife,1088
Hyderabad,3,couple,nightlife,399
Mumbai,7,family,culture,1372
Hyderabad,2,solo,culture,264
Hyderabad,2,family,nightlife,297
Hyderabad,7,couple,nightlife,715
London,7,couple,nature,1944
Hyderabad,4,solo,shopping,268
Edinburgh,7,couple,shopping,1654
Hyderabad,2,couple,shopping,246
Hyderabad,4,solo,culture,300
Hyderabad,2,family,nightlife,301
Mumbai,4,family,nightlife,759
Mumbai,3,couple,nature,290
London,6,couple,nightlife,1579
Mumbai,7,solo,culture,578
Hyderabad,5,solo,nature,247
Hyderabad,5,family,shopping,825
London,7,couple,nature,1911
London,4,solo,culture,690
London,6,family,culture,2335
London,4,family,nightlife,1520
Hyderabad,7,family,nature,1027
Hyderabad,5,solo,nightlife,437
London,6,family,nightlife,2334
Edinburgh,3,couple,nature,615
Hyderabad,6,couple,culture,605
London,5,couple,shopping,1400
London,2,couple,culture,485
Edinburgh,5,couple,shopping,1143
Hyderabad,5,solo,nature,246
London,6,family,nature,2417
Hyderabad,7,solo,nature,328
London,3,couple,culture,840
Mumbai,2,couple,shopping,191
Edinburgh,3,family,nightlife,1009
London,3,solo,nature,526
Edinburgh,3,solo,shopping,561
Hyderabad,2,family,nightlife,425
Hyderabad,6,solo,nature,435
Hyderabad,4,family,nightlife,510
Mumbai,2,couple,culture,339
Mumbai,2,couple,nightlife,189
London,6,couple,shopping,1573
Mumbai,6,family,culture,1265
London,5,couple,shopping,1327
Mumbai,7,couple,nightlife,958
Hyderabad,7,solo,culture,483
London,2,solo,shopping,289
Hyderabad,5,solo,culture,259
Mumbai,5,solo,nightlife,301
Edinburgh,6,couple,nightlife,1377
London,7,solo,nature,1022
Mumbai,7,couple,shopping,963
Mumbai,7,solo,shopping,522
London,7,couple,nightlife,1989
Edinburgh,6,solo,culture,770
London,2,family,nightlife,805
Mumbai,7,solo,shopping,568
Edinburgh,2,family,nightlife,629
Hyderabad,5,family,nightlife,767
Hyderabad,5,solo,culture,229
Hyderabad,5,couple,nature,619
Edinburgh,2,solo,nightlife,383
Mumbai,5,couple,culture,678
Edinburgh,2,family,nature,836
Mumbai,2,solo,nature,268
Hyderabad,2,solo,shopping,86
Edinburgh,7,family,nature,2545
Mumbai,7,family,nature,1382
London,7,solo,nightlife,1253
Edinburgh,2,couple,nature,457
Hyderabad,4,couple,nightlife,541
Mumbai,7,couple,shopping,871
London,5,couple,culture,1402
Hyderabad,4,couple,shopping,437
London,3,couple,nightlife,925
Edinburgh,3,solo,nature,344
Hyderabad,7,solo,nightlife,414
Mumbai,2,couple,nightlife,208
Mumbai,6,family,shopping,1193
Mumbai,2,solo,culture,275
Edinburgh,6,couple,nightlife,1352
London,5,solo,nightlife,711
Edinburgh,5,solo,shopping,677
Edinburgh,3,solo,nightlife,510
Mumbai,6,family,nature,1154
Edinburgh,4,family,shopping,1304
London,3,couple,culture,845
Mumbai,4,couple,culture,568
Edinburgh,2,family,shopping,736
London,6,solo,nightlife,1049
Mumbai,4,family,nightlife,793
Edinburgh,2,family,nightlife,616
Hyderabad,5,solo,nightlife,363
Edinburgh,7,family,nature,2412
Hyderabad,5,family,nature,876
London,4,couple,nature,1186
Hyderabad,6,couple,culture,694
Mumbai,7,family,culture,1457
Mumbai,6,couple,shopping,722
Edinburgh,6,solo,culture,952
Mumbai,3,solo,culture,305
Mumbai,6,solo,nightlife,513
Hyderabad,4,solo,nightlife,278
London,6,family,culture,2325
Mumbai,5,couple,nightlife,648
Edinburgh,3,family,culture,1170
Edinburgh,6,couple,nature,1348
Mumbai,6,solo,culture,541
Hyderabad,2,solo,culture,149
Edinburgh,6,solo,nature,981
Mumbai,5,solo,nightlife,477
London,3,family,nature,1299
Hyderabad,2,family,nightlife,372
London,6,solo,shopping,960
Edinburgh,6,solo,shopping,782
Hyderabad,6,family,nightlife,1026
Edinburgh,2,solo,nightlife,200
Edinburgh,3,family,nature,1177
London,5,family,shopping,2034
London,5,family,shopping,2085
Hyderabad,6,couple,nature,607
Edinburgh,3,couple,shopping,837
Edinburgh,5,solo,shopping,735
Edinburgh,2,solo,nature,386
Mumbai,4,solo,nightlife,325
Edinburgh,7,solo,culture,1096
Mumbai,7,family,nature,1221
Hyderabad,5,family,nightlife,651
Mumbai,6,solo,nightlife,444
Edinburgh,5,couple,shopping,1099
London,2,couple,shopping,644
Hyderabad,4,couple,nightlife,557
Hyderabad,3,couple,nightlife,363
Edinburgh,6,family,nature,2112
Edinburgh,6,family,nature,2031
Mumbai,2,solo,shopping,67
Hyderabad,6,couple,culture,637
Edinburgh,7,couple,shopping,1716
Edinburgh,4,couple,nature,1086
Hyderabad,7,solo,culture,529
Mumbai,6,solo,shopping,529
London,3,family,shopping,1342
London,5,solo,nature,870
Hyderabad,6,solo,nightlife,262
London,7,family,shopping,2856
Mumbai,5,family,culture,964
Hyderabad,3,couple,nightlife,277
Hyderabad,5,solo,shopping,392
Edinburgh,4,couple,nature,1086
Hyderabad,3,solo,nightlife,125
London,4,family,nature,1668
Edinburgh,6,solo,nightlife,903
Mumbai,3,couple,nature,335
Edinburgh,2,couple,nature,496
Mumbai,6,solo,nightlife,424
Edinburgh,4,family,shopping,1369
Edinburgh,4,solo,nature,591
London,6,couple,nightlife,1777
London,3,solo,nature,592
Mumbai,6,couple,nature,838
Edinburgh,5,solo,culture,619
Hyderabad,5,solo,nature,202
Edinburgh,6,couple,shopping,1571
Edinburgh,7,couple,nature,1647
London,5,family,culture,1962
Mumbai,4,couple,nightlife,518
Edinburgh,7,couple,nature,1682
London,5,family,nightlife,2072
Edinburgh,7,family,culture,2532
Hyderabad,3,family,nightlife,462
London,5,family,shopping,2102
Hyderabad,5,couple,culture,570
Hyderabad,7,family,shopping,1092
Mumbai,7,family,shopping,1348
Mumbai,6,solo,nightlife,410
Mumbai,3,family,culture,568
Hyderabad,7,couple,nature,850
Mumbai,2,family,culture,325
Hyderabad,4,couple,shopping,353
Mumbai,4,solo,culture,263
Hyderabad,5,solo,culture,273
Edinburgh,6,couple,nature,1331
Mumbai,3,family,culture,485
Hyderabad,5,couple,culture,591
Mumbai,5,solo,shopping,358
Edinburgh,2,solo,nature,331
Edinburgh,3,couple,nature,833
London,4,family,nightlife,1513
Edinburgh,3,couple,shopping,719
Hyderabad,6,couple,nightlife,584
Hyderabad,5,family,nightlife,731
Mumbai,4,solo,culture,395
Mumbai,2,family,shopping,344
London,3,family,nightlife,1315
London,6,couple,nature,1767
Edinburgh,7,solo,culture,937
Hyderabad,3,solo,shopping,166
Mumbai,6,solo,shopping,464
Hyderabad,6,solo,culture,428
Hyderabad,3,solo,nightlife,206
Mumbai,2,family,nature,521
Hyderabad,2,solo,culture,117
Edinburgh,3,family,culture,1116
Mumbai,2,solo,nature,247
Mumbai,7,couple,culture,865
Hyderabad,6,couple,nature,623
Hyderabad,3,couple,nature,349
Edinburgh,4,solo,shopping,545
Edinburgh,7,family,nature,2448
Edinburgh,4,family,culture,1491
Edinburgh,6,couple,shopping,1395
Mumbai,5,couple,shopping,656
Edinburgh,6,family,nature,2115
Edinburgh,7,family,culture,2582
Edinburgh,3,couple,culture,804
Mumbai,2,couple,shopping,354
Edinburgh,2,couple,nightlife,602
Mumbai,5,family,culture,959
Mumbai,4,family,culture,700
London,5,couple,nightlife,1411
Edinburgh,5,solo,nightlife,828
Hyderabad,2,family,shopping,375
Mumbai,3,couple,nightlife,493
Mumbai,5,couple,shopping,616
London,6,family,shopping,2413
London,7,solo,nightlife,1148
London,6,family,culture,2303
Mumbai,7,couple,nature,810
Edinburgh,2,family,nature,718
Edinburgh,2,family,culture,718
Hyderabad,6,couple,culture,673
Edinburgh,5,couple,nature,1312
London,4,solo,culture,670
Hyderabad,5,solo,nightlife,361
Mumbai,7,couple,culture,1018
Hyderabad,5,solo,culture,315
Mumbai,3,couple,shopping,341
Edinburgh,2,family,nature,774
Edinburgh,5,solo,culture,815
Mumbai,7,family,nightlife,1431
Mumbai,3,solo,nightlife,372
Mumbai,7,solo,culture,587
Edinburgh,3,solo,shopping,494
Mumbai,3,family,culture,484
Edinburgh,7,solo,culture,987
London,7,family,shopping,2862
Hyderabad,5,solo,nightlife,361
Mumbai,4,family,shopping,847
Hyderabad,5,solo,nightlife,446
London,4,couple,culture,1034
Mumbai,6,family,culture,1141
Hyderabad,7,couple,nightlife,817
Hyderabad,2,family,nightlife,276
London,3,family,culture,1233
London,4,family,shopping,1590
Mumbai,7,couple,nature,891
Hyderabad,7,family,shopping,979
London,7,family,nightlife,2812
Hyderabad,7,couple,nature,828
Mumbai,2,family,nature,453
London,3,family,culture,1127
Edinburgh,6,family,nature,2062
Hyderabad,4,family,culture,518
London,5,couple,nightlife,1425
Hyderabad,6,solo,nature,268
Edinburgh,2,solo,nature,382
Hyderabad,4,solo,shopping,217
Mumbai,2,family,nightlife,494
Edinburgh,3,solo,culture,429
Mumbai,2,family,shopping,457
Edinburgh,6,couple,culture,1503
Mumbai,5,family,shopping,900
Mumbai,3,solo,shopping,273
Hyderabad,5,solo,shopping,371
Hyderabad,6,solo,culture,448
Hyderabad,5,family,culture,875
Edinburgh,2,solo,shopping,354
Edinburgh,5,couple,nightlife,1263
London,2,family,nature,751
Hyderabad,7,solo,shopping,357
Edinburgh,2,solo,shopping,311
London,5,couple,nightlife,1432
London,7,couple,nightlife,1965
London,2,solo,nightlife,306
Mumbai,7,couple,culture,1001
Hyderabad,6,couple,nature,538
Edinburgh,4,couple,culture,1036
Hyderabad,6,solo,shopping,427
Mumbai,4,solo,nightlife,255
Hyderabad,6,solo,nature,308
Mumbai,2,couple,nightlife,197
Edinburgh,5,solo,nature,638
Hyderabad,6,solo,nightlife,321
Mumbai,4,couple,nature,642
Hyderabad,6,solo,culture,276
Edinburgh,6,family,shopping,2166
London,2,family,culture,891
London,7,family,shopping,2776
London,7,solo,culture,1187
Edinburgh,4,solo,culture,568
Edinburgh,6,solo,culture,829
London,5,couple,culture,1267
Hyderabad,4,couple,shopping,465
Hyderabad,2,family,nightlife,281
Mumbai,3,couple,culture,408
Edinburgh,3,solo,shopping,558
Edinburgh,5,solo,culture,675
Mumbai,4,family,culture,816
Mumbai,6,solo,nature,543
London,4,solo,nature,681
Mumbai,4,couple,culture,530
London,5,family,nightlife,2097
London,6,couple,culture,1697
London,7,couple,culture,1972
Mumbai,5,family,shopping,901
London,6,family,nature,2400
Hyderabad,7,solo,shopping,542
Hyderabad,2,couple,nightlife,124
Mumbai,4,couple,nightlife,508
Hyderabad,2,solo,nature,141
Mumbai,5,couple,nightlife,731
London,5,family,culture,1962
London,4,couple,shopping,1044
Mumbai,5,solo,nightlife,441
Mumbai,5,solo,shopping,470
Hyderabad,2,solo,shopping,167
London,6,couple,nightlife,1677
Edinburgh,4,family,shopping,1522
London,7,family,culture,2812
Mumbai,6,couple,nightlife,780
Edinburgh,5,couple,culture,1120
Edinburgh,2,solo,nature,248
Mumbai,4,family,shopping,694
Edinburgh,3,family,nature,1195
London,4,couple,shopping,1037
Mumbai,4,solo,shopping,444
Mumbai,3,solo,nature,249
Hyderabad,3,solo,shopping,166
Mumbai,5,couple,nightlife,737
Hyderabad,6,solo,shopping,434
Mumbai,5,solo,culture,498
