city,days,travel_type,interest,recommended_budget
Paris,7,couple,shopping,1922
Amsterdam,3,couple,culture,722
Berlin,6,family,nature,1545
Barcelona,3,solo,nature,293
Paris,6,solo,nature,921
Amsterdam,6,couple,nature,1540
Rome,2,family,nature,768
Berlin,5,solo,culture,452
Berlin,6,solo,nature,712
Amsterdam,7,couple,nature,1629
Berlin,5,couple,shopping,942
Rome,6,family,nature,1878
Barcelona,4,family,nightlife,1263
Paris,4,family,nightlife,1626
Berlin,7,couple,culture,1145
Paris,3,family,nightlife,1235
Rome,5,family,culture,1714
Rome,6,family,nature,2050
Berlin,3,solo,culture,400
Paris,2,solo,culture,370
Berlin,2,family,shopping,530
Berlin,6,family,nature,1501
Berlin,5,family,culture,1193
Rome,4,solo,culture,436
Berlin,2,family,culture,446
Amsterdam,7,family,nightlife,2572
Barcelona,2,family,culture,617
Paris,3,solo,nightlife,492
Rome,3,solo,culture,315
Berlin,2,family,nature,612
Berlin,7,family,culture,1656
Paris,4,couple,shopping,1134
Barcelona,3,family,nature,915
Rome,3,family,nature,977
Paris,7,family,nightlife,2751
Amsterdam,5,solo,nature,730
Barcelona,4,couple,shopping,930
Amsterdam,2,solo,nature,332
Barcelona,3,solo,nightlife,496
Berlin,5,couple,nature,804
Rome,3,couple,nature,809
Barcelona,6,couple,nightlife,1219
Rome,4,family,nature,1443
Barcelona,7,solo,culture,801
Barcelona,5,solo,nightlife,683
Amsterdam,2,couple,nature,528
Amsterdam,6,solo,nature,916
Rome,6,couple,nightlife,1383
Berlin,5,couple,nature,786
Paris,2,solo,nature,406
Paris,2,solo,nightlife,395
Amsterdam,4,couple,culture,912
Barcelona,4,couple,shopping,899
Rome,7,solo,nature,962
Amsterdam,5,family,nightlife,1797
Barcelona,7,solo,shopping,976
Berlin,4,couple,culture,797
Paris,2,couple,shopping,529
Barcelona,6,couple,shopping,1338
Paris,2,family,nightlife,771
Paris,6,family,nature,2312
Berlin,3,couple,culture,625
Rome,4,couple,culture,903
Barcelona,2,solo,nightlife,281
Barcelona,3,family,culture,983
Rome,4,solo,culture,614
Paris,3,couple,culture,871
Paris,6,family,shopping,2375
Amsterdam,7,family,culture,2525
Berlin,3,couple,culture,469
Barcelona,5,solo,culture,580
Berlin,6,couple,culture,1034
Berlin,4,couple,nightlife,670
Barcelona,6,solo,nature,835
Rome,5,solo,shopping,608
Paris,6,family,culture,2238
Barcelona,3,family,shopping,965
Amsterdam,6,family,culture,2057
Paris,4,family,shopping,1569
Berlin,4,solo,nature,338
Berlin,5,couple,nature,826
Barcelona,5,family,nature,1623
Barcelona,7,family,culture,2232
Paris,3,solo,shopping,589
Rome,7,family,nature,2407
Berlin,5,family,nature,1186
Barcelona,7,couple,nightlife,1546
Paris,5,couple,culture,1312
Paris,7,couple,nightlife,1894
Berlin,7,family,culture,1853
Amsterdam,4,family,nightlife,1424
Amsterdam,6,family,culture,2133
Rome,4,couple,shopping,809
Berlin,7,couple,culture,1093
Paris,4,solo,culture,538
Barcelona,6,family,nightlife,1731
Berlin,7,couple,shopping,1116
Rome,2,couple,nightlife,525
Amsterdam,6,solo,shopping,947
Barcelona,4,couple,shopping,900
Barcelona,4,family,culture,1157
Amsterdam,7,family,nature,2538
Rome,2,solo,nightlife,171
Berlin,5,family,nightlife,1209
Paris,2,solo,culture,207
Rome,7,couple,nightlife,1645
Rome,6,solo,nightlife,739
Berlin,4,couple,shopping,732
Paris,7,solo,nature,1125
Paris,5,family,nature,2020
Barcelona,6,couple,nightlife,1195
Rome,6,solo,nightlife,700
Berlin,7,couple,nature,1328
Rome,6,solo,culture,781
Paris,4,couple,shopping,1007
Paris,2,solo,nature,359
Amsterdam,5,solo,nature,767
Berlin,5,solo,nature,624
Paris,2,solo,nature,360
Barcelona,5,couple,nature,1022
Berlin,7,family,nature,1823
Berlin,3,family,nature,755
Amsterdam,2,family,culture,794
Rome,7,solo,nature,882
Paris,3,couple,nightlife,726
Amsterdam,7,family,shopping,2476
Rome,5,couple,nature,1026
Berlin,4,family,culture,1087
Berlin,7,family,nature,1895
Amsterdam,5,solo,culture,644
Rome,3,family,shopping,1112
Amsterdam,6,solo,shopping,792
Rome,5,couple,nature,1150
Rome,7,solo,nightlife,865
Paris,4,family,nightlife,1601
Rome,4,solo,culture,601
Paris,5,solo,nature,862
Berlin,6,solo,nightlife,719
Amsterdam,7,couple,culture,1744
Paris,5,couple,culture,1272
Amsterdam,3,family,nature,1113
Berlin,4,family,nature,1145
Barcelona,5,family,culture,1417
Barcelona,2,family,nature,507
Amsterdam,7,family,nature,2521
Berlin,6,solo,nature,736
Paris,7,couple,nightlife,1809
Paris,5,couple,shopping,1244
Paris,4,solo,culture,527
Berlin,4,solo,culture,492
Amsterdam,5,solo,shopping,646
Rome,3,family,nature,888
Berlin,6,couple,nightlife,1013
Paris,2,solo,nightlife,207
Rome,5,solo,culture,613
Amsterdam,5,solo,shopping,764
Barcelona,5,solo,culture,740
Amsterdam,5,family,shopping,1783
Amsterdam,4,solo,nightlife,573
Berlin,2,family,culture,419
Berlin,6,solo,shopping,534
Barcelona,6,family,culture,1860
Paris,4,couple,nightlife,1153
Amsterdam,6,couple,nightlife,1370
Berlin,2,couple,culture,424
Rome,3,family,nightlife,912
Amsterdam,7,solo,nightlife,959
Berlin,3,family,nightlife,891
Barcelona,2,family,nightlife,656
Barcelona,7,family,nature,2192
Berlin,4,couple,nature,693
Berlin,2,couple,nightlife,286
Paris,5,family,nightlife,1863
Amsterdam,2,solo,shopping,210
Barcelona,6,solo,nature,809
Amsterdam,3,couple,nightlife,811
Paris,2,solo,culture,375
Barcelona,2,solo,culture,298
Paris,4,couple,culture,1021
Amsterdam,7,family,nature,2575
Berlin,6,solo,shopping,582
Barcelona,4,solo,nightlife,433
Paris,6,family,culture,2225
Berlin,6,family,nightlife,1492
Paris,2,solo,nightlife,440
Rome,5,couple,nature,1015
Rome,7,couple,nature,1640
Paris,4,solo,nature,571
Berlin,7,solo,culture,753
Paris,5,solo,nature,697
Barcelona,5,family,shopping,1575
Berlin,5,family,shopping,1386
Barcelona,4,family,nightlife,1146
Barcelona,5,family,culture,1435
Rome,4,family,nightlife,1220
Barcelona,7,family,nature,2077
Barcelona,5,solo,nightlife,737
Rome,6,family,nightlife,1884
Berlin,5,couple,nature,751
Paris,6,couple,culture,1523
Rome,5,couple,shopping,1145
Paris,3,solo,nature,533
Amsterdam,5,couple,shopping,1143
Paris,5,solo,nature,696
Rome,6,family,nature,1967
Barcelona,7,solo,nature,748
Berlin,3,solo,culture,369
Paris,3,family,culture,1092
Berlin,4,family,nature,988
Berlin,4,couple,culture,762
Berlin,6,family,culture,1626
Amsterdam,3,solo,shopping,468
Paris,7,solo,shopping,1112
Amsterdam,4,couple,culture,929
Barcelona,6,solo,nature,772
Berlin,4,family,culture,1045
Rome,3,couple,culture,729
Paris,2,family,shopping,673
Amsterdam,7,family,nightlife,2567
Berlin,6,couple,nightlife,1151
Barcelona,2,family,culture,635
Paris,4,couple,culture,1150
Amsterdam,6,solo,nightlife,869
Amsterdam,6,family,nightlife,2148
Berlin,4,couple,nightlife,704
Berlin,4,couple,nature,709
Amsterdam,3,couple,culture,648
Berlin,7,couple,nightlife,1275
Amsterdam,6,solo,culture,770
Paris,3,couple,nature,785
Amsterdam,2,family,nightlife,629
Barcelona,5,family,nightlife,1517
Barcelona,5,solo,culture,529
Barcelona,5,couple,nature,1129
Paris,6,couple,nightlife,1655
Barcelona,7,solo,shopping,853
Barcelona,3,solo,culture,261
Rome,2,solo,culture,234
Rome,5,couple,shopping,1158
Amsterdam,3,family,nature,1112
Rome,7,solo,nightlife,1043
Amsterdam,2,couple,nature,457
Barcelona,4,couple,nightlife,949
Rome,5,couple,culture,1147
Barcelona,4,couple,shopping,845
Rome,3,couple,nightlife,772
Berlin,2,couple,culture,293
Paris,5,family,nature,1839
Barcelona,5,family,shopping,1568
Paris,6,solo,nature,935
Barcelona,3,solo,shopping,327
Barcelona,5,solo,shopping,577
Amsterdam,3,solo,nightlife,510
Barcelona,4,couple,nature,775
Rome,4,solo,shopping,581
Berlin,2,couple,nature,250
Berlin,6,family,nightlife,1606
Paris,4,solo,shopping,648
Paris,5,couple,nature,1289
Amsterdam,2,family,nightlife,616
Barcelona,5,solo,nightlife,663
Amsterdam,7,family,nature,2412
Barcelona,5,family,nature,1626
Rome,5,couple,nature,1203
Barcelona,6,couple,culture,1306
Berlin,7,family,culture,1895
Barcelona,3,family,nature,919
Barcelona,2,solo,culture,357
Berlin,6,solo,culture,581
Barcelona,6,solo,shopping,860
Amsterdam,4,family,culture,1351
Barcelona,3,couple,nightlife,545
Amsterdam,5,couple,nightlife,1316
Paris,6,solo,nature,841
Barcelona,3,solo,culture,364
Paris,2,solo,culture,329
Amsterdam,6,solo,nature,981
Berlin,5,solo,nightlife,602
Berlin,4,couple,nightlife,756
Paris,5,family,nightlife,1947
Rome,6,solo,shopping,780
Barcelona,2,family,shopping,628
Barcelona,4,family,nightlife,1116
Barcelona,5,solo,nightlife,557
Amsterdam,4,family,shopping,1434
Rome,5,family,shopping,1710
Barcelona,6,couple,nature,1219
Berlin,7,family,nightlife,1761
Amsterdam,2,family,nightlife,703
Paris,2,couple,shopping,587
Rome,2,couple,nightlife,419
Paris,2,solo,nature,318
Berlin,3,solo,nightlife,339
Rome,3,couple,culture,743
Amsterdam,3,family,nature,964
Paris,3,family,culture,1177
Rome,7,couple,culture,1560
Amsterdam,7,solo,nightlife,911
Rome,7,solo,nightlife,958
Rome,3,couple,shopping,601
Paris,5,solo,shopping,667
Barcelona,6,couple,culture,1249
Amsterdam,4,couple,nature,1086
Paris,7,solo,culture,1159
Berlin,6,solo,shopping,679
Rome,3,family,shopping,1117
Amsterdam,6,couple,shopping,1492
Barcelona,2,family,shopping,617
Rome,6,couple,shopping,1333
Paris,6,family,nightlife,2255
Berlin,2,solo,shopping,292
Amsterdam,4,couple,nature,1086
Paris,3,solo,nightlife,395
Rome,4,couple,culture,895
Barcelona,2,couple,nature,397
Berlin,7,solo,nature,613
Paris,3,solo,culture,369
Rome,4,family,shopping,1269
Rome,6,couple,nightlife,1336
Barcelona,5,couple,nightlife,1165
Rome,3,solo,nature,502
Barcelona,3,couple,nature,515
Amsterdam,2,solo,nightlife,196
Amsterdam,6,couple,shopping,1543
Barcelona,3,family,nightlife,931
Berlin,7,couple,shopping,1248
Amsterdam,5,family,culture,1712
Rome,7,solo,nightlife,839
Berlin,7,solo,shopping,699
Rome,6,couple,shopping,1338
Paris,3,family,nightlife,1137
Rome,5,family,shopping,1727
Paris,5,couple,culture,1335
Paris,7,family,shopping,2667
Amsterdam,4,family,culture,1389
Barcelona,2,solo,nature,189
Rome,6,family,culture,1943
Barcelona,7,solo,shopping,848
Rome,6,family,nature,1884
Berlin,4,solo,culture,363
Barcelona,5,solo,culture,573
Barcelona,5,couple,nature,923
Berlin,4,solo,nightlife,356
Amsterdam,7,solo,nature,1053
Amsterdam,5,solo,shopping,683
Paris,5,solo,nature,801
Amsterdam,3,couple,nature,833
Rome,5,couple,nightlife,1142
Berlin,2,solo,nature,143
Paris,6,family,nightlife,2231
Berlin,4,solo,culture,495
Berlin,2,family,shopping,469
Berlin,4,family,nightlife,1098
Barcelona,3,couple,nightlife,631
Paris,6,couple,culture,1511
Barcelona,4,family,nature,1264
Paris,4,family,culture,1484
Amsterdam,2,solo,culture,340
Berlin,6,family,nature,1648
Paris,2,solo,culture,297
Amsterdam,3,family,culture,1116
Paris,2,couple,nature,647
Berlin,2,couple,culture,244
Berlin,7,solo,nature,673
Berlin,4,solo,shopping,385
Amsterdam,7,family,nature,2448
Rome,2,family,culture,569
Berlin,5,couple,nightlife,963
Barcelona,7,couple,shopping,1452
Paris,3,couple,culture,855
Berlin,2,couple,shopping,439
Amsterdam,2,couple,nightlife,602
Amsterdam,2,family,nature,770
Rome,6,family,shopping,2097
Amsterdam,3,solo,nightlife,548
Barcelona,2,family,shopping,675
Berlin,3,couple,nightlife,539
Rome,6,family,shopping,1963
Rome,7,solo,nightlife,938
Barcelona,5,family,culture,1403
Rome,2,family,nature,668
Paris,6,family,culture,2170
Barcelona,3,couple,nature,734
Rome,4,solo,culture,550
Paris,5,solo,nightlife,811
Berlin,7,couple,culture,1316
Barcelona,5,solo,culture,615
Berlin,7,family,nightlife,1821
Paris,4,couple,shopping,1027
Amsterdam,2,solo,nightlife,405
Rome,5,couple,nature,1244
Barcelona,5,couple,nature,1080
Barcelona,4,couple,culture,766
Berlin,3,family,culture,672
Paris,6,family,nature,2164
Rome,4,solo,nightlife,544
Berlin,3,family,nightlife,897
Amsterdam,7,solo,nightlife,1003
Paris,4,couple,culture,966
Barcelona,4,solo,culture,560
Amsterdam,7,solo,shopping,1016
Rome,5,solo,shopping,759
Rome,2,couple,shopping,560
Rome,4,couple,nightlife,829
Amsterdam,6,couple,shopping,1474
Rome,5,solo,culture,717
Berlin,7,family,nature,1825
Paris,4,couple,shopping,1050
Berlin,4,solo,nightlife,511
Barcelona,7,family,culture,2123
Paris,5,family,shopping,2018
Barcelona,6,solo,nature,628
Paris,5,solo,nature,852
Barcelona,4,solo,shopping,457
Paris,5,family,nightlife,1994
Berlin,2,solo,nature,185
Paris,6,couple,culture,1605
Amsterdam,4,family,nightlife,1537
Berlin,6,family,culture,1468
Amsterdam,6,family,nightlife,2160
Barcelona,6,solo,culture,756
Amsterdam,4,solo,nature,675
Paris,6,family,shopping,2317
Amsterdam,7,couple,shopping,1580
Paris,4,couple,nightlife,1012
Barcelona,4,couple,nightlife,964
Barcelona,4,family,shopping,1191
Amsterdam,5,couple,nightlife,1262
Rome,7,couple,nightlife,1608
Rome,2,solo,nightlife,246
Paris,3,solo,culture,361
Berlin,4,family,nightlife,1005
Paris,2,solo,culture,440
Rome,7,family,nightlife,2411
Amsterdam,2,solo,culture,409
Paris,7,solo,nature,1085
Rome,5,solo,nature,588
Barcelona,6,solo,nightlife,681
Berlin,4,couple,nature,812
Paris,6,solo,culture,816
Barcelona,4,family,shopping,1282
Paris,6,family,nature,2296
Rome,6,family,nature,1894
Paris,5,family,nightlife,1846
Barcelona,6,solo,nightlife,808
Paris,6,couple,shopping,1649
Berlin,6,solo,shopping,673
Barcelona,2,family,nightlife,581
Berlin,3,couple,culture,536
Amsterdam,3,solo,shopping,558
Amsterdam,5,solo,culture,675
Berlin,4,family,culture,1066
Berlin,6,solo,nature,693
Rome,4,solo,nature,561
Berlin,4,couple,culture,700
Amsterdam,4,couple,shopping,968
Berlin,6,couple,shopping,1063
Berlin,2,solo,nature,111
Rome,4,solo,shopping,464
Berlin,6,solo,nature,548
Paris,2,couple,nightlife,430
Rome,3,family,culture,993
Paris,6,couple,nature,1459
Amsterdam,5,couple,nightlife,1284
Rome,5,family,culture,1587
Rome,3,family,culture,992
Amsterdam,5,solo,nightlife,766
Berlin,5,solo,shopping,595
Barcelona,2,solo,shopping,287
Rome,6,couple,nightlife,1371
Amsterdam,4,family,shopping,1522
Rome,7,family,culture,2287
Barcelona,3,couple,culture,542
Amsterdam,2,solo,nature,248
Rome,4,family,culture,1203
Berlin,4,couple,nature,686
Rome,3,family,nature,880
Rome,6,family,culture,1879
Berlin,6,couple,culture,956
Berlin,5,solo,shopping,486
Amsterdam,3,solo,culture,348
Barcelona,4,family,nature,1343
Paris,6,couple,nightlife,1498
Barcelona,2,solo,culture,301
Barcelona,7,solo,shopping,826
Rome,4,couple,nature,943
Barcelona,4,couple,culture,800
Amsterdam,6,family,shopping,2067
Rome,2,family,nightlife,674
Rome,6,family,nature,1988
Amsterdam,4,solo,culture,558
Amsterdam,3,couple,culture,765
Berlin,4,solo,shopping,384
Amsterdam,6,solo,culture,903
Rome,4,solo,nature,430
Barcelona,5,couple,culture,1165
Rome,5,solo,culture,733
Amsterdam,2,couple,nature,387
Paris,4,family,nature,1447
Amsterdam,5,couple,shopping,1272
Berlin,5,couple,shopping,910
Rome,4,solo,shopping,661
Paris,4,solo,nature,718
Berlin,5,family,shopping,1388
Amsterdam,6,family,nightlife,2072
Amsterdam,6,solo,culture,852
Paris,4,family,nature,1466
Rome,6,solo,shopping,917
Barcelona,3,couple,culture,725
Rome,4,couple,nature,825
Barcelona,5,couple,culture,1071
Rome,7,solo,nature,856
Rome,4,couple,nightlife,809
Paris,7,family,shopping,2589
Amsterdam,2,solo,culture,322
Barcelona,6,solo,nightlife,747
Paris,2,family,nature,840
Paris,3,couple,nature,792
Amsterdam,7,family,nature,2424
Rome,4,couple,nightlife,988
Barcelona,3,solo,culture,342
Rome,7,couple,nightlife,1591
Berlin,3,couple,nightlife,475
Berlin,3,solo,nightlife,310
Amsterdam,3,family,shopping,1085
Rome,7,solo,shopping,862
Paris,2,solo,nature,380
Barcelona,6,family,culture,1718
Paris,2,couple,shopping,490
Berlin,3,couple,nightlife,557
Berlin,7,couple,nightlife,1199
Amsterdam,6,family,nature,2029
Amsterdam,6,family,shopping,2007
Berlin,5,family,shopping,1355
Berlin,3,couple,shopping,484
Paris,5,solo,shopping,834
Paris,3,solo,nature,367
Paris,3,solo,nature,418
Amsterdam,2,solo,nightlife,318
Paris,2,family,shopping,786
Rome,3,couple,shopping,613
Barcelona,4,solo,nature,491
Amsterdam,4,solo,culture,645
Berlin,6,solo,nightlife,718
Paris,3,family,shopping,1237
Barcelona,4,solo,culture,540
Amsterdam,4,solo,nightlife,634
Paris,7,solo,culture,1033
Rome,4,solo,nature,564
Barcelona,7,family,nightlife,2040
Rome,3,couple,shopping,798
Paris,5,family,culture,1787
Berlin,6,solo,nightlife,530
Berlin,2,solo,nature,302
Paris,5,solo,shopping,822
Barcelona,3,solo,nightlife,267
Amsterdam,3,family,nightlife,1019
Amsterdam,5,solo,nightlife,831
Paris,5,solo,nightlife,884
Rome,6,solo,culture,797
Berlin,6,family,culture,1473
Barcelona,6,couple,nightlife,1125
Paris,5,couple,nature,1337
Paris,4,family,nature,1416
Amsterdam,7,solo,shopping,1032
Amsterdam,3,couple,nature,678
Amsterdam,5,family,culture,1753
Amsterdam,3,family,nature,1130
Berlin,4,family,nature,1132
Berlin,6,couple,shopping,1143
Barcelona,2,solo,shopping,325
Amsterdam,2,couple,nightlife,391
Rome,6,solo,shopping,907
Rome,2,family,nightlife,774
Paris,6,couple,shopping,1561
Rome,6,solo,culture,777
Berlin,5,solo,shopping,523
Amsterdam,3,couple,nightlife,750
Barcelona,5,couple,shopping,1062
Amsterdam,7,solo,culture,938
Berlin,5,family,nature,1334
